DFPN 10201,"A19",(EM_D01)
DFPN 10409,"AB21",(PC_SPEED100)
DFPN 11316,"V1",(GPIO7)
DFPN 11516,"Y17",(LCD_PD12)
DFPN 10215,"AA15",(LCD_PD05)
DFPN 10616,"C22",(EM_A19)
DFPN 10806,"F2",(EJTAG_TCK)
DFPN 10911,"J3",(JTAG_TCK)
DFPN 10713,"E1",(EJTAG_TRST1_N)
DFPN 10316,"AB12",(KEYPAD15)
DFPN 10414,"B6",(EM_WAIT)
DFPN 10704,"D5",(EM_SDCKE)
DFPN 10804,"E22",(EM_A12)
DFPN 10607,"C12",(EM_D23)
DFPN 10815,"G3",(EJTAG_TDI)
DFPN 11001,"K3",(VLYNQ5_CLK)
DFPN 10716,"E4",(SSP3)
DFPN 10816,"G20",(EM_A07)
DFPN 11514,"Y15",(LCD_PD06)
DFPN 11205,"M22",(CODEC_RINGIN2)
DFPN 11505,"Y6",(AIC_MICBIAS)
DFPN 10310,"AB6",(VR_VBASE1)
DFPN 11416,"W22",(LAN_TXP)
DFPN 10210,"AA10",(KEYPAD09)
DFPN 10314,"AB10",(KEYPAD08)
DFPN 10411,"B3",(UART_CTS)
DFPN 10306,"AA22",(PC_FDUPLEX)
DFPN 11309,"T2",(GPIO3)
DFPN 10613,"C18",(EM_D03)
DFPN 10407,"AB19",(LAN_SPEED100)
DFPN 10605,"C10",(EM_WE_DQM0)
DFPN 10203,"AA3",(AIC_HN_INP)
DFPN 10813,"G1",(JTAG_EMU1)
DFPN 11511,"Y12",(LCD_PCLK_E)
DFPN 10206,"AA6",(VR_ENZ)
DFPN 10109,"A11",(EM_D28)
DFPN 10101,"A3",(UART_RTS)
DFPN 10513,"C1",(RST_N)
DFPN 10211,"AA11",(KEYPAD12)
DFPN 10814,"G2",(EJTAG_TMS)
DFPN 10308,"AB4",(AIC_CID_INM)
DFPN 10506,"B14",(EM_D18)
DFPN 10809,"F19",(EM_A11)
DFPN 10408,"AB20",(LAN_ACTIVITY)
